anzsco_code,occupation,description
1111,Chief Executives and Managing Directors,"Chief Executives and Managing Directors determine, formulate and review the general policy programs and the overall direction of organisations within the framework established by boards of directors and similar governing bodies."
1112,General Managers,"General Managers plan, organise, direct, control and review the day-to-day operations and major functions of commercial, industrial, government and defence organisations through departmental managers and subordinate executives."
1211,Aquaculture Farmers,"Aquaculture Farmers plan, organise, control, coordinate and perform farming operations to breed and raise fish and other aquatic stock."
1213,Livestock Farmers,"Livestock Farmers plan, organise, control, coordinate and perform farming operations to breed and raise livestock for the production of breeding stock, milk, eggs, meat, honey, wool and hair."
1215,Broadacre Crop Growers,"Broadacre Crop Growers plan, organise, control, coordinate and perform farming operations to grow broadacre crops such as cereals, oilseeds, pulses, sugar cane, rice, cotton and pasture crops."
1216,Horticultural Crop Growers,"Horticultural Crop Growers plan, organise, control, coordinate and perform farming operations to grow horticultural crops such as flowers, fruit, grapes, nuts, turf and vegetables."
1217,Mixed Production Farmers,"Mixed Production Farmers plan, organise, control, coordinate and perform farming operations spanning two or more of the four different primary production areas - aquaculture, broadacre crops, horticultural crops, and livestock."
1321,Corporate Services Managers,"Corporate Services Managers plan, organise, direct, control and coordinate the overall administration of organisations."
1322,Finance Managers,"Finance Managers plan, organise, direct, control and coordinate the financial and accounting activities within organisations."
1323,Human Resource Managers,"Human Resource Managers plan, organise, direct, control and coordinate the human resource and workplace relations activities within organisations."
1324,Policy and Planning Managers,"Policy and Planning Managers plan, organise, direct, control and coordinate policy advice and strategic planning within organisations."
1325,Research and Development Managers,"Research and Development Managers plan, organise, direct, control and coordinate research and development activities within organisations."
1331,Construction Managers,"Construction Managers plan, organise, direct, control and coordinate the construction of engineering projects or buildings and dwellings, and the physical and human resources involved in building and construction."
1332,Engineering Managers,"Engineering Managers plan, organise, direct, control and coordinate the engineering and technical operations of organisations."
1333,"Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers plan, organise, direct, control and coordinate the operations of importing, exporting and wholesaling establishments."
1334,Manufacturers,"Manufacturers plan, organise, direct, control and coordinate the operations of small manufacturing establishments."
1335,Production Managers,"Production Managers plan, organise, direct, control and coordinate the production activities of forestry, manufacturing and mining organisations including physical and human resources."
